skupina,udaj,odkaz_na_original,navrh_verdiktu,potvrzeno
zakázka s částmi (VVZ),"Z2017-022104: počet částí 2 (LOT-0001, LOT-0002)",https://vvz.nipez.cz/vyhledat-formular/V9TAPZO6c69B684VT1uWBPpX1dxZMQFR,"tok za každou část (vvz:Z2017-022104:<část>, počet 2), tok celé zakázky ukončen (D-044)",
zakázka s částmi (VVZ),"Z2017-033841: počet částí 7 (LOT-0001, LOT-0002, LOT-0003, LOT-0004, LOT-0005, LOT-0006)",https://vvz.nipez.cz/vyhledat-formular/DvJXqZ9QfDsUplDj9zxcpIpJWgfBcKba,"tok za každou část (vvz:Z2017-033841:<část>, počet 7), tok celé zakázky ukončen (D-044)",
zakázka s částmi (VVZ),"Z2019-043629: počet částí 4 (LOT-0001, LOT-0005, LOT-0006, LOT-0007)",https://vvz.nipez.cz/vyhledat-formular/Sfi2AH3R6TQI1hFUO5BBmeDRRNDzzEGw,"tok za každou část (vvz:Z2019-043629:<část>, počet 4), tok celé zakázky ukončen (D-044)",
zakázka s částmi (VVZ),"Z2021-013844: počet částí 2 (LOT-0001, LOT-0002)",https://vvz.nipez.cz/vyhledat-formular/ChOKQzcQvJwY4N8RpMyxXlxJkdNEsqxa,"tok za každou část (vvz:Z2021-013844:<část>, počet 2), tok celé zakázky ukončen (D-044)",
zakázka s částmi (VVZ),"Z2023-030740: počet částí 5 (LOT-0002, LOT-0003, LOT-0004, LOT-0005, LOT-0006)",https://vvz.nipez.cz/vyhledat-formular/LQf9CglgWlC8rEMUVtZ8wjrvesDTrtog,"tok za každou část (vvz:Z2023-030740:<část>, počet 5), tok celé zakázky ukončen (D-044)",
zrušené řízení (VVZ),"Z2019-043629, formulář F2026-046994 ze dne 2026-08-31",https://vvz.nipez.cz/vyhledat-formular/Sfi2AH3R6TQI1hFUO5BBmeDRRNDzzEGw,událost „zruseni“ u toku zakázky; tok ani částky se nepřepisují,
zrušené řízení (VVZ),"Z2021-010908, formulář F2026-050679 ze dne 2026-09-22",https://vvz.nipez.cz/vyhledat-formular/eS3SUKIRum80oOSRcHGYf0CcVieuI66V,událost „zruseni“ u toku zakázky; tok ani částky se nepřepisují,
zrušené řízení (VVZ),"Z2021-013844, formulář F2026-048823 ze dne 2026-09-10",https://vvz.nipez.cz/vyhledat-formular/ssBzN4UyOMkBbBglapPAA24Ut0QxmtEr,událost „zruseni“ u toku zakázky; tok ani částky se nepřepisují,
zrušené řízení (VVZ),"Z2022-000963, formulář F2026-049072 ze dne 2026-09-11",https://vvz.nipez.cz/vyhledat-formular/MELrP5CRO7wy3SXYkVuPTqjq1glFIQz0,událost „zruseni“ u toku zakázky; tok ani částky se nepřepisují,
zrušené řízení (VVZ),"Z2022-024675, formulář F2026-046570 ze dne 2026-08-27",https://vvz.nipez.cz/vyhledat-formular/4JekYQCbgaCDkqqRwizaZKOVunPJFsw6,událost „zruseni“ u toku zakázky; tok ani částky se nepřepisují,
dotace se stavem k datu (IS ReD),"rozhodnutá částka 274000.00 CZK, stav k 2026-02-21",https://red.fs.gov.cz/opendata/resource/data/rozhodnuti/0ABE5DA0E341C2D72B52D657C334571A74725455,"dotace_priznana, mimo DPH, celkem; stav k datu exportu 2026-02-21 (D-039)",
dotace se stavem k datu (IS ReD),"rozhodnutá částka 266000.00 CZK, stav k 2026-02-21",https://red.fs.gov.cz/opendata/resource/data/rozhodnuti/0C1737E97F49362B67E0DB36343E3E392C72F335,"dotace_priznana, mimo DPH, celkem; stav k datu exportu 2026-02-21 (D-039)",
dotace se stavem k datu (IS ReD),"rozhodnutá částka 526000.00 CZK, stav k 2026-02-21",https://red.fs.gov.cz/opendata/resource/data/rozhodnuti/10413144F59B1163A56B6FEFC108FFBA2030E10B,"dotace_priznana, mimo DPH, celkem; stav k datu exportu 2026-02-21 (D-039)",
dotace se stavem k datu (IS ReD),"rozhodnutá částka 358000.00 CZK, stav k 2026-02-21",https://red.fs.gov.cz/opendata/resource/data/rozhodnuti/121BBBC0DCBE1A277949DCBE870579FF5D9A711B,"dotace_priznana, mimo DPH, celkem; stav k datu exportu 2026-02-21 (D-039)",
dotace se stavem k datu (IS ReD),"rozhodnutá částka 90000.00 CZK, stav k 2026-02-21",https://red.fs.gov.cz/opendata/resource/data/rozhodnuti/129281FC54095ADD68EE4B74CE35381378D73DE0,"dotace_priznana, mimo DPH, celkem; stav k datu exportu 2026-02-21 (D-039)",
cizí měna,vysoutezena 185186.00 EUR (formulář F2026-046363),https://vvz.nipez.cz/vyhledat-formular/syaID9GYVrv36qRnLCi73KJ3MdPiY2v1,přepočet kurzem ČNB 24.255000 ze dne 2026-08-10 = 4491686.43 CZK; původní hodnota zůstává,
cizí měna,predpokladana 348000.00 EUR (formulář F2026-046363),https://vvz.nipez.cz/vyhledat-formular/syaID9GYVrv36qRnLCi73KJ3MdPiY2v1,přepočet kurzem ČNB 24.080000 ze dne 2026-08-26 = 8379840.00 CZK; původní hodnota zůstává,
cizí měna,predpokladana 173977.00 EUR (formulář F2026-046619),https://vvz.nipez.cz/vyhledat-formular/wiPMmOvVinwY05e1gG4agJlmGhM8H550,přepočet kurzem ČNB 24.140000 ze dne 2026-08-27 = 4199804.78 CZK; původní hodnota zůstává,
cizí měna,predpokladana 5870200.00 EUR (formulář F2026-046705),https://vvz.nipez.cz/vyhledat-formular/YZjbe5qUnSnXl8pld8uU0ngFDt34y8TW,přepočet kurzem ČNB 24.150000 ze dne 2026-08-28 = 141765330.00 CZK; původní hodnota zůstává,
cizí měna,predpokladana 1653600.00 EUR (formulář F2026-046705),https://vvz.nipez.cz/vyhledat-formular/YZjbe5qUnSnXl8pld8uU0ngFDt34y8TW,přepočet kurzem ČNB 24.150000 ze dne 2026-08-28 = 39934440.00 CZK; původní hodnota zůstává,
subjekt po přeměně (kotva/OR),dodavatel IČO 00204382 (právnická osoba),https://ares.gov.cz/ekonomicke-subjekty?ico=00204382,ostatní skutečnosti v OR uvádějí přeměnu -> indikátor nový subjekt ho nehodnotí (D-050),
subjekt po přeměně (kotva/OR),dodavatel IČO 00473057 (právnická osoba),https://ares.gov.cz/ekonomicke-subjekty?ico=00473057,ostatní skutečnosti v OR uvádějí přeměnu -> indikátor nový subjekt ho nehodnotí (D-050),
subjekt po přeměně (kotva/OR),dodavatel IČO 00539422 (právnická osoba),https://ares.gov.cz/ekonomicke-subjekty?ico=00539422,ostatní skutečnosti v OR uvádějí přeměnu -> indikátor nový subjekt ho nehodnotí (D-050),
subjekt po přeměně (kotva/OR),dodavatel IČO 00543535 (právnická osoba),https://ares.gov.cz/ekonomicke-subjekty?ico=00543535,ostatní skutečnosti v OR uvádějí přeměnu -> indikátor nový subjekt ho nehodnotí (D-050),
subjekt po přeměně (kotva/OR),dodavatel IČO 00558010 (právnická osoba),https://ares.gov.cz/ekonomicke-subjekty?ico=00558010,ostatní skutečnosti v OR uvádějí přeměnu -> indikátor nový subjekt ho nehodnotí (D-050),
fyzická osoba nebo strana bez IČO,"dotaceeu_2127 CZ.01.01.01/02/22_003/0000165#1.0: vynechána pole PSČ příjemce, Příjemce - název",https://www.dotaceeu.cz/getmedia/36db6e93-3a73-48a4-8d6f-adc32d034152/2026_09_Seznam-operaci_List-of-Operations_21.xlsx.aspx?ext=.xlsx,osobní údaje neuloženy (hash z původního záznamu); samostatný profil nevzniká (pravidlo 4),
