id_verze,odkaz,cas_zverejneni,datum_uzavreni,ico_subjektu,ico_protistrany,protistran_bez_ico,castka_v_metadatech,hodnota_bez_dph,hodnota_vcetne_dph,cizi_mena,duvod_neuvedeni_ceny,m1_ico_obe_strany_a_castka,prilohy_pocet,prilohy_hash_ok,prilohy_ocr,text_citelny,castka_v_priloze,m2_castka_jen_v_priloze,m3_znecitelneno,znecitelneni,kontrola_castky,kontrola_ico,kontrola_data
36687029,https://smlouvy.gov.cz/smlouva/36687029,2026-02-06T08:52:00+01:00,2026-02-04,True,True,0,True,75000,,,False,True,1,1,0,True,False,False,False,,shoda,44992785:nalezeno; 46900667:nalezeno,nelze_overit
37890549,https://smlouvy.gov.cz/smlouva/37890549,2026-05-07T17:01:10+02:00,2026-05-06,True,True,0,True,27044,30289,,False,True,1,1,0,True,True,False,False,,shoda,00843989:nenalezeno; 19010290:nalezeno,shoda
37100173,https://smlouvy.gov.cz/smlouva/37100173,2026-03-10T08:06:31+01:00,2026-03-09,True,True,0,False,,,,False,False,1,1,0,True,False,False,True,černé obdélníky v PDF,bez_castky_v_metadatech,42196451:nalezeno; 06687385:nalezeno,nelze_overit
35059725,https://smlouvy.gov.cz/smlouva/35059725,2025-10-03T08:05:37+02:00,2025-10-02,True,True,0,True,70850,85729,,False,True,1,1,0,True,False,False,False,,shoda,00023736:nalezeno; 25664018:nalezeno,shoda
37688265,https://smlouvy.gov.cz/smlouva/37688265,2026-04-23T12:05:24+02:00,2026-04-23,True,True,0,True,92573,,,False,True,1,1,0,True,False,False,False,,shoda,25508881:nalezeno; 29298687:nalezeno,shoda
38219769,https://smlouvy.gov.cz/smlouva/38219769,2026-06-02T09:31:11+02:00,2026-05-15,True,True,0,True,316174,382570,,False,True,2,2,0,True,True,False,False,,shoda,00240915:nalezeno; 01410806:nalezeno,nelze_overit
37435033,https://smlouvy.gov.cz/smlouva/37435033,2026-04-02T13:50:20+02:00,2026-03-30,True,True,0,True,,103283,,False,True,3,3,0,True,True,False,True,textové značky,shoda,13642103:nalezeno; 44269471:nalezeno,shoda
36862409,https://smlouvy.gov.cz/smlouva/36862409,2026-02-19T10:56:30+01:00,2026-02-15,True,True,0,False,,,,False,False,1,1,0,True,False,False,True,textové značky,bez_castky_v_metadatech,49241494:nalezeno; 70951918:nalezeno,shoda
35642065,https://smlouvy.gov.cz/smlouva/35642065,2025-11-18T08:21:28+01:00,2025-11-13,True,True,0,True,68650,,,False,True,1,1,0,True,True,False,False,,shoda_souctu_polozek,00844004:nalezeno; 22360531:nalezeno,shoda
37576489,https://smlouvy.gov.cz/smlouva/37576489,2026-04-15T16:09:10+02:00,2026-04-10,True,True,0,True,450000,450000,,False,True,1,1,0,True,True,False,False,,shoda,00064581:nalezeno; 04419421:nalezeno,shoda
38013677,https://smlouvy.gov.cz/smlouva/38013677,2026-05-19T09:07:45+02:00,2026-04-29,True,True,0,True,88109,106612,,False,True,1,1,1,True,True,False,False,,shoda,04677773:nalezeno; 42408121:nalezeno,shoda
36178965,https://smlouvy.gov.cz/smlouva/36178965,2025-12-22T11:19:58+01:00,2025-12-22,True,True,0,True,91060,,,False,True,2,2,1,True,False,False,False,,shoda,70994234:nalezeno; 42324254:nalezeno,shoda
35965165,https://smlouvy.gov.cz/smlouva/35965165,2025-12-09T13:43:10+01:00,2025-12-03,True,True,0,True,,315000,,False,True,1,1,0,True,True,False,False,,shoda,70891168:nalezeno; 00255076:nalezeno,nelze_overit
36158765,https://smlouvy.gov.cz/smlouva/36158765,2025-12-19T13:28:35+01:00,2025-12-15,True,True,0,True,57520,,,False,True,1,1,0,True,False,False,True,název souboru,shoda,28746503:nalezeno; 76463681:nalezeno,nelze_overit
35237645,https://smlouvy.gov.cz/smlouva/35237645,2025-10-16T13:43:10+02:00,2025-10-02,True,True,0,True,,95000,,False,True,1,1,0,True,False,False,False,,text_bez_ceny,60436166:nalezeno; 49659448:nalezeno,shoda
36577137,https://smlouvy.gov.cz/smlouva/36577137,2026-01-29T08:39:50+01:00,2026-01-28,True,True,0,False,,,,False,False,1,1,0,True,True,True,False,,bez_castky_v_metadatech,14103320:nalezeno; 44992785:nalezeno,nelze_overit
39089310,https://smlouvy.gov.cz/smlouva/39089310,2026-08-12T11:30:08+02:00,2026-05-25,True,True,0,True,240000,290400,,False,True,1,1,0,True,True,False,False,,shoda,65993390:nalezeno; 03497313:nalezeno,nelze_overit
38722984,https://smlouvy.gov.cz/smlouva/38722984,2026-07-10T13:24:15+02:00,2026-07-08,True,True,0,True,149155,,,False,True,1,1,0,True,True,False,False,,shoda,05421888:nenalezeno; 28233492:nalezeno,nelze_overit
36545793,https://smlouvy.gov.cz/smlouva/36545793,2026-01-27T10:29:39+01:00,2026-01-27,True,True,0,True,47430,,,False,True,1,1,0,True,True,False,True,textové značky,neshoda,70989800:nalezeno; 00306754:nalezeno,nelze_overit
37123709,https://smlouvy.gov.cz/smlouva/37123709,2026-03-11T12:06:07+01:00,2026-03-10,True,True,0,True,1950000,2359500,,False,True,1,1,0,True,True,False,True,textové značky,shoda,70894451:nalezeno; 27582167:nalezeno,nelze_overit
38124833,https://smlouvy.gov.cz/smlouva/38124833,2026-05-26T14:36:52+02:00,2026-05-21,True,True,0,True,170000,205700,,False,True,1,1,1,True,True,False,True,černé obdélníky v PDF,neshoda,00273571:nalezeno; 03789161:nalezeno,nelze_overit
35514949,https://smlouvy.gov.cz/smlouva/35514949,2025-11-07T08:30:05+01:00,2025-11-06,True,True,0,True,102869,124471,,False,True,1,1,0,True,True,False,False,,shoda,00063517:nalezeno; 22317007:nalezeno,nelze_overit
35579229,https://smlouvy.gov.cz/smlouva/35579229,2025-11-12T09:12:17+01:00,2025-11-07,True,True,0,True,,176670,,False,True,1,1,0,True,True,False,False,,neshoda,63434466:nalezeno; 63217881:nalezeno,nelze_overit
39239638,https://smlouvy.gov.cz/smlouva/39239638,2026-08-25T10:00:57+02:00,2026-08-25,True,True,0,True,71745,,,False,True,1,1,0,True,True,False,False,,shoda,61383082:nalezeno; 24139769:nalezeno,shoda
37301857,https://smlouvy.gov.cz/smlouva/37301857,2026-03-25T05:58:56+01:00,2026-03-23,True,True,0,True,3369912,,,False,True,1,1,0,True,True,False,False,,shoda,70892822:nalezeno; 00426245:nalezeno,nelze_overit
