id,mereni,zaznam,udaj,hodnota_metadata,nalezeno_v_textu,odkaz_zaznamu,odkaz_originalu,navrh_verdiktu,zduvodneni,potvrzeno
V001,P1,34686717,castka,"bez DPH 2 794 521,00 Kč; s DPH","4 887 000,00 Kč (kontext: dotac); 2 872 709,87 Kč (kontext: dotac); 2 014 290,13 Kč (kontext: dotac)",https://smlouvy.gov.cz/smlouva/34686717,https://smlouvy.gov.cz/smlouva/soubor/42141789/0830_2025%20pro%20zverejneni.pdf,"NESHODA – ověřit; pokud je v textu cena celého plnění, metadata jsou chybná",částka z metadat se v textu nenachází ani po přepočtu DPH; text uvádí jiné částky v cenovém kontextu,
V002,P1,34757285,castka,"bez DPH 175 000,00 Kč; s DPH","8 750,00 Kč (kontext: odměn); 7 000,00 Kč (kontext: odměn); 7 000,00 Kč (kontext: částk)",https://smlouvy.gov.cz/smlouva/34757285,https://smlouvy.gov.cz/smlouva/soubor/42225045/Dodatek%20%C4%8D.%201%20TextilEco%2C%20a.s.pdf,"NESHODA – ověřit; pokud je v textu cena celého plnění, metadata jsou chybná",částka z metadat se v textu nenachází ani po přepočtu DPH; text uvádí jiné částky v cenovém kontextu,
V003,P1,35172177,castka,"bez DPH 500 000,00 Kč; s DPH","200 000,00 Kč (kontext: předpokl)",https://smlouvy.gov.cz/smlouva/35172177,https://smlouvy.gov.cz/smlouva/soubor/42706509/OHLA%20%C5%BDS_244-2025_Smlouva%20o%20poskytov%C3%A1n%C3%AD%20servisn%C3%ADch%20%C4%8Dinnost%C3%AD_2025_10_10_25269_redigov%C3%A1no.pdf,"NESHODA – ověřit; pokud je v textu cena celého plnění, metadata jsou chybná",částka z metadat se v textu nenachází ani po přepočtu DPH; text uvádí jiné částky v cenovém kontextu,
V004,P1,35579229,castka,"bez DPH ; s DPH 176 670,00 Kč","1 000,00 Kč (kontext: poplat); 570,00 Kč (kontext: ceno); 570,00 Kč (kontext: poplat)",https://smlouvy.gov.cz/smlouva/35579229,https://smlouvy.gov.cz/smlouva/soubor/43176037/Smlouva%20LVK%2012_2025.pdf,"NESHODA – ověřit; pokud je v textu cena celého plnění, metadata jsou chybná",částka z metadat se v textu nenachází ani po přepočtu DPH; text uvádí jiné částky v cenovém kontextu,
V005,P1,35885709,castka,"bez DPH 195 973,00 Kč; s DPH","195 913,00 Kč (kontext: cena)",https://smlouvy.gov.cz/smlouva/35885709,https://smlouvy.gov.cz/smlouva/soubor/43529381/SML_U-406-00-25.pdf,"NESHODA – ověřit; pokud je v textu cena celého plnění, metadata jsou chybná",částka z metadat se v textu nenachází ani po přepočtu DPH; text uvádí jiné částky v cenovém kontextu,
V006,P1,35955121,castka,"bez DPH 22 400,00 Kč; s DPH","90,00 Kč (kontext: částk)",https://smlouvy.gov.cz/smlouva/35955121,https://smlouvy.gov.cz/smlouva/soubor/43607765/Konfirmace_IFTP%20DEPOSIT_137035868.pdf,"NESHODA – ověřit; pokud je v textu cena celého plnění, metadata jsou chybná",částka z metadat se v textu nenachází ani po přepočtu DPH; text uvádí jiné částky v cenovém kontextu,
V007,P1,36482757,castka,"bez DPH ; s DPH 1 897 066,00 Kč","986,34 Kč (kontext: ceny); 986,34 Kč (kontext: ceny)",https://smlouvy.gov.cz/smlouva/36482757,https://smlouvy.gov.cz/smlouva/soubor/44203493/dodatek%2024-Slav%C3%AD%C4%8Dka%2012-18.docx,"NESHODA – ověřit; pokud je v textu cena celého plnění, metadata jsou chybná",částka z metadat se v textu nenachází ani po přepočtu DPH; text uvádí jiné částky v cenovém kontextu,
V008,P1,36545793,castka,"bez DPH 47 430,00 Kč; s DPH","930,00 Kč (kontext: cena); 93,00 Kč (kontext: cena)",https://smlouvy.gov.cz/smlouva/36545793,https://smlouvy.gov.cz/smlouva/soubor/44273733/Smlouva%20200232_2025%20H.Bludovice.pdf,"NESHODA – ověřit; pokud je v textu cena celého plnění, metadata jsou chybná",částka z metadat se v textu nenachází ani po přepočtu DPH; text uvádí jiné částky v cenovém kontextu,
V009,P1,38124833,castka,"bez DPH 170 000,00 Kč; s DPH 205 700,00 Kč","147 600,00 Kč (kontext: cena); 147 600,00 Kč (kontext: cena); 4 100,00 Kč (kontext: ceno)",https://smlouvy.gov.cz/smlouva/38124833,https://smlouvy.gov.cz/smlouva/soubor/46061949/SoD%20Pokspol%20anonimiz.pdf,"NESHODA – ověřit; pokud je v textu cena celého plnění, metadata jsou chybná",částka z metadat se v textu nenachází ani po přepočtu DPH; text uvádí jiné částky v cenovém kontextu,
V010,P1,38704268,castka,"bez DPH 927 360,00 Kč; s DPH 1 122 106,00 Kč","230,00 Kč (kontext: cenu)",https://smlouvy.gov.cz/smlouva/38704268,https://smlouvy.gov.cz/smlouva/soubor/46726152/SFPI_Smlouva_sluzby_KICKK_ANONYM.pdf,"NESHODA – ověřit; pokud je v textu cena celého plnění, metadata jsou chybná",částka z metadat se v textu nenachází ani po přepočtu DPH; text uvádí jiné částky v cenovém kontextu,
