id,mereni,zaznam,udaj,hodnota_metadata,nalezeno_v_textu,odkaz_zaznamu,odkaz_originalu,navrh_verdiktu,zduvodneni,potvrzeno
V018,P1,34907565,ico_strana,04004353,—,https://smlouvy.gov.cz/smlouva/34907565,https://smlouvy.gov.cz/smlouva/soubor/42398137/dodatek%20%C4%8D.%201%20Modlitba.pdf,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V019,P1,35146997,ico_strana,61387045,—,https://smlouvy.gov.cz/smlouva/35146997,https://smlouvy.gov.cz/smlouva/soubor/42678269/UK2LF%20-%20Objedn%C3%A1vka%20%28pron%C3%A1jem%20t%C4%9Blocvi%C4%8Dny%20na%20v%C3%BDuku%29.pdf,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V020,P1,35421769,ico_strana,00001975,—,https://smlouvy.gov.cz/smlouva/35421769,https://smlouvy.gov.cz/smlouva/soubor/42994173/KS%20Slav%C4%9Btice.pdf,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V021,P1,35421769,ico_strana,00001977,—,https://smlouvy.gov.cz/smlouva/35421769,https://smlouvy.gov.cz/smlouva/soubor/42994173/KS%20Slav%C4%9Btice.pdf,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V022,P1,35596025,ico_strana,06218733,—,https://smlouvy.gov.cz/smlouva/35596025,https://smlouvy.gov.cz/smlouva/soubor/43195445/A_Objedn%C3%A1vka%20148_20225.pdf,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V023,P1,35630989,ico_strana,60193531,—,https://smlouvy.gov.cz/smlouva/35630989,https://smlouvy.gov.cz/smlouva/soubor/43235789/Konfirmace_MM495322.pdf,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V024,P1,36276741,ico_strana,27094987,—,https://smlouvy.gov.cz/smlouva/36276741,https://smlouvy.gov.cz/smlouva/soubor/43972173/%5BA%5D%20SZMM260005.txt,NELZE OVĚŘIT – text přílohy neuvádí žádné IČO; metadata ponechat,"text přílohy neuvádí žádné IČO (např. objednávka, ceník, dopis bez identifikace stran)",přijato automaticky jako kategorie (D-031)
V025,P1,36476445,ico_strana,70140171,—,https://smlouvy.gov.cz/smlouva/36476445,https://smlouvy.gov.cz/smlouva/soubor/44196309/00692-314a-2025.docx,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V026,P1,36687961,ico_strana,24303321,—,https://smlouvy.gov.cz/smlouva/36687961,https://smlouvy.gov.cz/smlouva/soubor/42575341/7252006364.pdf,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V027,P1,37595161,ico_strana,24215660,—,https://smlouvy.gov.cz/smlouva/37595161,https://smlouvy.gov.cz/smlouva/soubor/45458269/OBJP2657991.pdf,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V028,P1,38172337,ico_strana,15030865,—,https://smlouvy.gov.cz/smlouva/38172337,https://smlouvy.gov.cz/smlouva/soubor/45710777/7261007182.pdf,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V029,P1,38871970,ico_strana,25635972,—,https://smlouvy.gov.cz/smlouva/38871970,https://smlouvy.gov.cz/smlouva/soubor/46918682/%5BA%5D%20KGA087353.txt,NELZE OVĚŘIT – text přílohy neuvádí žádné IČO; metadata ponechat,"text přílohy neuvádí žádné IČO (např. objednávka, ceník, dopis bez identifikace stran)",přijato automaticky jako kategorie (D-031)
V030,P1,38896230,ico_strana,19010290,—,https://smlouvy.gov.cz/smlouva/38896230,https://smlouvy.gov.cz/smlouva/soubor/46945574/%5BA%5D%20RVNC26008704.txt,NELZE OVĚŘIT – text přílohy neuvádí žádné IČO; metadata ponechat,"text přílohy neuvádí žádné IČO (např. objednávka, ceník, dopis bez identifikace stran)",přijato automaticky jako kategorie (D-031)
V031,P1,39240914,ico_strana,26409062,—,https://smlouvy.gov.cz/smlouva/39240914,https://smlouvy.gov.cz/smlouva/soubor/47334006/7262005561.pdf,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
V033,P1,36276741,ico_subjekt,27283933,—,https://smlouvy.gov.cz/smlouva/36276741,https://smlouvy.gov.cz/smlouva/soubor/43972173/%5BA%5D%20SZMM260005.txt,NELZE OVĚŘIT – text přílohy neuvádí žádné IČO; metadata ponechat,"text přílohy neuvádí žádné IČO (např. objednávka, ceník, dopis bez identifikace stran)",přijato automaticky jako kategorie (D-031)
V034,P1,36302241,ico_subjekt,00006947,—,https://smlouvy.gov.cz/smlouva/36302241,https://smlouvy.gov.cz/smlouva/soubor/44001149/zz_Dokument%201%20k%20_Smlouva%20-%20%C4%8D.%20262000062_.pdf,NELZE OVĚŘIT – text uvádí jen IČO jiné strany z metadat; metadata ponechat,"text uvádí IČO jiné strany z metadat, toto IČO ani žádné další IČO neuvádí",přijato automaticky jako kategorie (D-031)
